SMILES	MW	TPSA	AROM	HBA	HBD	ROTB	LOGP	RING
Cc1cc(sc1C(N)C(O)=O)C(O)=O	215.23	100.62	1	4	3	3	0.8391200000000001	1
CC(CN)CC(O)=O	117.14799999999998	63.32		2	2	3	0.05590000000000028	
Cn1cnc(=N)c2nc[nH]c12	149.15699999999998	70.35	2	4	2		-0.22413000000000033	2
Cn1cnc(=N)c2nc[nH]c12	149.15699999999998	70.35	2	4	2		-0.22413000000000033	2
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1	419.4850000000002	86.35999999999999	4	6	2	5	2.0019	5
Clc1cccc(c1)\C=N\N=C\c1cccc(Cl)c1	277.154	24.72	2	2		3	4.446400000000002	2
C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12	246.313	31.58	4		2	2	4.240000000000002	4
NC(C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	239.18299999999996	137.92000000000002	1	4	4	4	0.16739999999999988	1
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	239.18299999999996	137.92000000000002	1	4	4	4	0.16739999999999988	1
N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	239.18299999999996	137.92000000000002	1	4	4	4	0.16739999999999988	1
N[C@H](C(O)=O)c1cc(O)cc(O)c1	183.16299999999998	103.78	1	4	4	2	0.18220000000000008	1
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1	503.59300000000013	43.86000000000001	3	4		8	5.268800000000005	5
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1	503.59300000000013	43.86000000000001	3	4		8	5.268800000000005	5
O=C(\C=C\c1cccnc1)c1ccncc1	210.23600000000002	42.85	2	3		3	2.372700000000001	2
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1	339.454	20.310000000000002	2	2		7	4.743300000000004	3
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1	339.454	20.310000000000002	2	2		7	4.743300000000004	3
CC(=O)N1CC[N+](C)(C)CC1	157.23699999999997	20.310000000000002		1			-0.07509999999999994	1
Nc1ccc(cc1)C(=O)NCC(O)=O	194.18999999999997	92.42000000000002	1	3	3	3	0.08319999999999972	1
Nc1ccc(cc1)C(=O)NCC(O)=O	194.18999999999997	92.42000000000002	1	3	3	3	0.08319999999999972	1
Nc1ccc(cc1)C(=O)NCC(O)=O	194.18999999999997	92.42000000000002	1	3	3	3	0.08319999999999972	1
Nc1ccc(cc1)C(=O)NCC(O)=O	194.18999999999997	92.42000000000002	1	3	3	3	0.08319999999999972	1
Nc1ccc(cc1)C(=O)NCC(O)=O	194.18999999999997	92.42000000000002	1	3	3	3	0.08319999999999972	1
NC(C(O)=O)c1ccc(C(O)=O)c(O)c1	211.17299999999997	120.85000000000001	1	4	4	3	0.1747999999999998	1
N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1	211.17299999999997	120.85000000000001	1	4	4	3	0.1747999999999998	1
NC(=N)Nc1ccc(Cl)cc1	169.615	61.900000000000006	1	1	3	1	1.6453699999999998	1
CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1	294.807	41.99	2	3	1	4	4.174800000000003	2
C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1	324.4440000000001	26.3	2	2		4	3.600500000000002	3
OC[C@H]1O[C@@H](O[C@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	504.43800000000005	268.67999999999995		16	11	7	-7.572999999999989	3
Oc1ncnc2ccccc12	146.14899999999997	46.010000000000005	2	3	1		1.3354	2
Cc1c(O)c(=O)n(-c2ccccc2)n1C	204.229	47.16	2	4	1	1	1.1900199999999999	2
Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1	420.29400000000027	32.34	2	2	1	4	3.6856000000000027	3
Ic1cc(ncn1)-c1ccccc1	282.084	25.78	2	2		1	2.7482000000000006	2
N[C@H](Cc1ccc(I)cc1)C(O)=O	291.088	63.32	1	2	2	3	1.2456	1
COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O	284.26700000000005	79.9	3	5	2	2	2.8798000000000017	3
Cc1nc[nH]c1CCN	125.175	54.7	1	2	2	2	0.21931999999999985	1
Cc1cc(=O)oc2c(C=O)c(O)ccc12	204.18099999999998	67.51	2	4	1	1	1.6195199999999998	2
CCC(=O)NC1CC(c2ccccc2)c2ccccc2C1	279.3830000000001	29.1	2	1	1	3	3.659500000000002	3
CCC(=O)NC1CC(c2ccccc2)c2ccccc2C1	279.3830000000001	29.1	2	1	1	3	3.659500000000002	3
Oc1ccc(cc1)S(O)(=O)=O	174.177	74.6	1	3	2	1	0.6389000000000001	1
